department,current_headcount,projected_hiring,projected_attrition,planning_year
Operations,358,54,57,2026
Operations,485,24,1,2026
Finance,52,2,61,2025
Operations,151,77,10,2026
Marketing,267,47,1,2024
IT,479,36,10,2026
Sales,470,90,47,2026
Sales,297,83,20,2026
HR,390,94,54,2026
Marketing,27,89,47,2026
Finance,395,52,12,2026
IT,142,68,38,2025
Sales,48,50,55,2025
Operations,86,24,68,2026
Finance,94,74,20,2024
Finance,41,19,56,2025
Marketing,131,8,0,2026
Marketing,412,46,67,2024
IT,57,30,27,2026
Sales,241,63,50,2025
Finance,231,91,60,2025
Marketing,383,18,68,2025
Sales,66,93,38,2026
Marketing,108,32,62,2025
Operations,163,20,35,2025
Sales,351,29,1,2024
Marketing,41,27,11,2024
IT,483,64,66,2024
Operations,117,62,67,2025
Marketing,372,30,63,2026
Marketing,419,7,68,2025
Sales,65,57,13,2026
Marketing,369,72,1,2026
Finance,342,7,41,2025
Sales,71,30,17,2024
HR,371,92,3,2025
Operations,348,1,40,2025
Operations,344,79,52,2024
IT,471,58,21,2026
Sales,459,12,14,2025
Marketing,104,29,57,2024
Marketing,86,34,50,2025
Marketing,464,86,64,2025
IT,425,38,74,2026
Operations,238,79,39,2026
Marketing,429,10,17,2026
HR,259,19,21,2025
Sales,251,81,61,2024
IT,220,46,19,2026
Marketing,124,49,37,2026
HR,131,88,72,2025
Finance,249,38,0,2025
Sales,115,96,23,2025
IT,362,3,24,2024
IT,78,18,24,2026
HR,57,31,33,2024
Sales,200,92,33,2025
Marketing,112,88,26,2026
Finance,42,36,54,2026
Marketing,478,33,79,2026
Operations,185,31,51,2025
HR,321,21,6,2024
HR,391,34,31,2024
Finance,325,71,20,2026
IT,484,58,36,2025
IT,131,68,40,2024
HR,54,51,52,2026
HR,337,32,71,2025
Operations,481,82,36,2026
HR,482,76,20,2025
HR,92,84,72,2026
Finance,361,74,55,2025
IT,53,57,42,2025
Operations,326,60,59,2025
Operations,420,57,77,2024
Marketing,405,42,3,2026
Sales,364,26,57,2024
Operations,208,80,38,2026
HR,152,52,41,2026
Sales,320,90,16,2025
Sales,264,11,51,2025
Marketing,256,66,63,2024
Finance,92,80,54,2026
Sales,144,68,56,2024
Sales,378,79,0,2025
Finance,70,62,5,2026
Marketing,139,13,74,2024
Sales,368,45,51,2024
Operations,364,71,17,2025
Sales,325,43,79,2025
Finance,360,63,34,2024
Finance,377,13,62,2024
Operations,301,26,45,2024
Sales,348,32,61,2026
IT,350,32,47,2024
HR,455,56,28,2026
Marketing,35,35,78,2026
Finance,96,41,23,2026
Operations,237,53,47,2026
Finance,482,65,71,2024
Marketing,439,98,0,2026
Sales,453,99,1,2025
Sales,356,92,37,2026
Marketing,128,57,5,2024
Marketing,331,9,63,2025
IT,188,6,49,2026
IT,34,11,66,2025
IT,129,30,43,2024
Operations,157,22,45,2025
Marketing,330,51,51,2026
Marketing,390,6,59,2024
Sales,465,26,77,2025
IT,44,77,35,2024
IT,95,25,4,2026
IT,68,76,42,2026
Finance,271,72,70,2024
Operations,459,7,66,2026
IT,452,37,28,2025
IT,31,96,77,2025
Sales,97,9,38,2024
Marketing,430,44,70,2025
Marketing,201,42,61,2024
HR,291,33,63,2026
Operations,313,95,46,2026
Marketing,365,61,3,2025
Operations,332,94,14,2024
Operations,468,53,0,2024
Finance,489,23,65,2025
Sales,97,52,67,2025
HR,148,75,56,2025
HR,436,68,69,2024
Finance,176,38,2,2025
Finance,423,65,79,2025
Sales,59,41,34,2025
Marketing,144,7,62,2025
Operations,232,98,61,2026
Operations,365,61,31,2024
Sales,220,8,32,2026
Marketing,113,21,0,2024
Operations,127,8,22,2024
Operations,115,13,55,2025
Marketing,374,46,69,2026
Sales,486,9,21,2024
Marketing,177,42,10,2025
Marketing,220,43,64,2024
Marketing,167,79,52,2024
Finance,481,95,45,2024
HR,74,26,4,2026
Finance,184,73,15,2026
HR,129,80,4,2026
Marketing,328,86,78,2026
HR,102,64,5,2025
HR,294,13,26,2026
IT,180,39,28,2026
Operations,280,32,25,2026
IT,177,40,10,2026
Sales,300,10,31,2025
IT,40,4,14,2025
Operations,387,46,7,2026
HR,382,43,15,2024
Finance,299,90,18,2024
Marketing,120,58,9,2025
Finance,330,58,72,2026
Operations,167,40,45,2024
IT,427,95,51,2025
IT,436,55,1,2026
Operations,180,66,27,2024
Sales,94,1,37,2026
HR,265,42,38,2024
Operations,74,16,55,2025
Finance,168,31,14,2024
Finance,405,81,42,2025
Finance,282,71,51,2024
Sales,155,44,46,2024
HR,261,38,35,2024
Finance,389,85,43,2024
IT,232,20,36,2024
IT,110,29,1,2024
HR,473,73,20,2024
IT,46,42,69,2025
Finance,185,96,56,2025
Finance,379,93,76,2025
Sales,99,25,43,2026
Marketing,419,7,1,2024
IT,133,76,69,2026
Operations,366,68,13,2024
Sales,32,81,48,2024
HR,38,78,67,2025
Marketing,221,71,17,2024
HR,298,44,14,2024
Sales,322,86,75,2026
Operations,356,92,9,2025
Marketing,44,71,28,2026
IT,450,45,12,2024
Marketing,347,19,44,2024
IT,51,15,73,2025
Marketing,355,5,28,2026
IT,81,34,3,2026
Sales,20,48,13,2026
Marketing,404,76,56,2025
HR,184,56,18,2025
Operations,272,69,41,2024
Finance,43,32,47,2025
HR,309,9,45,2026
Sales,82,46,41,2025
IT,119,61,32,2025
Sales,55,59,64,2024
Operations,252,31,31,2026
Marketing,441,34,54,2024
HR,446,21,44,2026
Operations,171,17,14,2026
HR,483,54,26,2025
Finance,284,1,70,2024
IT,142,92,59,2026
IT,264,71,61,2026
Marketing,288,56,56,2024
Finance,413,89,40,2026
HR,100,67,45,2026
Finance,310,99,16,2025
IT,34,46,17,2024
Operations,58,1,69,2026
HR,449,53,44,2024
Operations,135,59,56,2024
Operations,163,6,50,2024
Finance,465,7,51,2026
IT,73,53,26,2026
Marketing,453,13,32,2025
IT,97,99,59,2026
Sales,129,98,71,2024
Finance,131,49,21,2025
Finance,100,12,12,2024
Operations,208,30,6,2026
Operations,403,89,79,2025
Sales,170,6,79,2024
HR,186,7,24,2024
Operations,57,32,47,2024
HR,453,27,35,2026
Finance,180,53,59,2025
Finance,392,6,66,2026
Sales,248,8,79,2024
Sales,144,44,7,2024
Marketing,394,58,62,2026
Operations,283,33,49,2026
IT,193,62,5,2024
IT,61,55,65,2025
Finance,127,81,5,2026
Sales,414,31,52,2026
Sales,482,24,7,2026
Sales,365,69,0,2026
HR,487,80,5,2024
HR,42,11,43,2025
IT,478,1,76,2024
Sales,256,93,38,2025
HR,114,17,65,2025
IT,248,6,1,2024
IT,281,88,71,2026
Operations,302,1,19,2024
Marketing,278,29,73,2024
Operations,313,67,33,2025
Marketing,448,64,69,2025
Finance,395,24,71,2024
IT,133,7,42,2026
Marketing,331,17,77,2026
IT,362,91,71,2026
IT,282,1,16,2024
Finance,134,59,60,2025
IT,303,98,61,2026
HR,174,84,37,2024
Finance,219,81,51,2024
Sales,345,12,73,2024
HR,142,14,53,2025
Finance,243,37,31,2026
HR,420,84,52,2024
Marketing,32,86,73,2026
IT,73,43,5,2024
Finance,497,85,34,2026
Sales,325,76,63,2025
Finance,174,21,21,2026
Sales,392,40,61,2026
HR,247,42,3,2025
Operations,214,91,19,2024
Finance,94,32,1,2024
HR,452,57,6,2026
Sales,144,83,76,2025
Marketing,169,37,45,2024
Sales,429,73,13,2025
Marketing,388,69,67,2024
Operations,93,63,62,2025
HR,304,48,19,2024
Sales,409,35,4,2024
Sales,403,97,5,2024
Marketing,440,67,22,2025
Sales,468,4,75,2026
Sales,422,92,43,2026
HR,360,25,68,2024
Sales,482,96,77,2024
IT,429,53,25,2026
Finance,310,38,74,2026
Marketing,393,9,49,2026
IT,342,59,5,2026
Operations,21,89,67,2024
IT,270,84,39,2024
HR,361,33,10,2024
Finance,138,67,77,2026
Operations,123,73,70,2026
Finance,375,67,64,2024
HR,99,18,25,2026
Finance,353,85,16,2024
HR,104,43,22,2024
Sales,275,64,69,2026
IT,424,58,47,2025
Operations,470,4,29,2024
HR,159,17,51,2025
Marketing,438,85,30,2026
Sales,127,36,23,2025
Sales,326,77,17,2026
Sales,309,39,76,2025
Finance,82,76,42,2026
Marketing,81,54,42,2024
Operations,413,42,61,2025
Finance,420,89,64,2024
Marketing,196,29,39,2026
Marketing,179,1,66,2024
Finance,143,80,51,2024
Operations,406,71,63,2024
Finance,458,37,11,2024
Finance,488,26,13,2026
Sales,92,18,20,2024
Sales,57,89,57,2025
Marketing,468,91,39,2025
HR,391,87,55,2026
Operations,36,41,48,2025
Operations,118,94,27,2024
Finance,395,2,13,2024
Finance,330,89,22,2026
Finance,109,79,61,2025
HR,297,36,68,2025
Marketing,99,5,17,2026
Finance,219,10,56,2024
Marketing,438,45,70,2025
Sales,497,79,26,2025
HR,60,32,1,2024
Marketing,38,30,78,2025
Marketing,223,84,22,2026
Operations,441,28,1,2026
Marketing,102,15,16,2025
IT,441,97,16,2024
HR,483,88,54,2024
Operations,457,6,36,2025
Finance,332,63,1,2024
IT,468,92,67,2026
HR,251,83,29,2024
IT,100,10,69,2025
Sales,490,99,70,2024
HR,105,62,6,2024
Marketing,276,7,12,2024
IT,77,66,38,2026
Finance,263,53,63,2025
Marketing,482,26,67,2025
Finance,412,92,68,2024
Marketing,413,45,30,2025
Finance,279,98,65,2024
Sales,63,2,45,2024
Marketing,28,67,45,2025
Finance,238,22,57,2024
Marketing,308,74,7,2025
Operations,285,44,59,2024
HR,418,73,4,2026
Sales,343,52,30,2025
Sales,420,79,78,2026
Finance,67,58,0,2025
Sales,99,49,51,2024
HR,362,56,35,2026
Sales,124,60,31,2024
HR,388,16,59,2025
Marketing,264,39,69,2026
HR,467,56,14,2025
HR,178,79,66,2025
Sales,109,82,70,2024
Sales,478,38,49,2024
IT,113,65,14,2026
Sales,55,38,9,2026
Operations,337,83,66,2024
IT,268,22,1,2025
Finance,279,72,57,2024
Marketing,54,12,74,2026
Marketing,447,72,25,2025
HR,426,69,47,2025
Finance,216,74,13,2024
IT,159,13,43,2024
Finance,67,17,12,2025
Operations,380,10,27,2026
Finance,356,92,75,2026
Operations,124,68,27,2026
HR,165,58,63,2024
Marketing,326,47,56,2025
Sales,171,81,72,2026
IT,490,98,5,2025
Sales,71,0,59,2025
Operations,401,42,53,2025
Sales,56,34,4,2026
Operations,113,44,37,2025
Marketing,306,8,38,2024
IT,452,72,0,2025
Finance,441,84,53,2024
HR,35,98,48,2026
Finance,248,9,24,2026
Finance,287,32,52,2026
Operations,478,88,49,2026
Finance,451,66,51,2025
Finance,351,26,70,2024
Operations,308,59,30,2026
Finance,471,93,26,2025
Finance,350,83,30,2024
HR,105,52,60,2024
Finance,148,60,79,2026
HR,42,88,33,2025
HR,27,64,57,2024
Operations,197,8,28,2024
IT,488,93,70,2024
IT,67,69,3,2026
Marketing,121,41,20,2025
Marketing,425,3,22,2024
HR,49,63,16,2025
Marketing,353,99,22,2026
Operations,116,87,75,2025
Marketing,395,92,24,2026
Marketing,362,79,46,2024
Operations,494,89,42,2026
Finance,348,21,30,2024
Sales,66,35,74,2024
HR,202,60,52,2026
Finance,133,15,38,2026
Finance,494,82,54,2024
HR,175,41,48,2026
IT,226,94,22,2026
Sales,139,98,29,2024
Sales,144,76,76,2026
HR,279,12,21,2026
Marketing,162,31,53,2024
Sales,137,22,42,2026
Marketing,65,1,61,2024
Sales,259,45,64,2024
Sales,403,47,17,2024
Marketing,115,2,74,2024
Marketing,249,35,56,2024
Marketing,208,19,23,2026
Sales,62,15,41,2025
Operations,295,66,38,2026
Finance,309,9,7,2024
HR,305,78,33,2025
Marketing,311,25,5,2025
Marketing,78,10,19,2025
Finance,41,69,0,2025
Sales,294,23,29,2025
IT,122,36,28,2025
IT,418,97,52,2024
HR,275,14,1,2024
Sales,201,26,31,2024
Sales,300,38,23,2026
Sales,100,69,25,2024
Marketing,404,7,11,2024
Finance,156,44,60,2026
Finance,300,33,12,2026
HR,195,24,75,2026
HR,145,80,30,2024
Finance,120,82,3,2026
HR,455,68,0,2025
Sales,123,48,35,2024
HR,317,49,79,2025
Sales,365,87,77,2025
Sales,312,65,15,2025
HR,478,10,60,2026
Operations,234,60,38,2025
HR,264,19,66,2026
Marketing,305,57,10,2024
Sales,374,73,1,2025
Marketing,427,60,2,2024
Sales,458,75,24,2026
Marketing,322,7,67,2026
Marketing,172,6,47,2026
Sales,375,36,50,2024
HR,491,76,55,2025
IT,71,5,16,2024
IT,317,45,48,2026
Sales,222,13,23,2025
Sales,244,4,66,2025
Operations,347,5,65,2025
Sales,342,8,77,2024
Operations,372,83,69,2025
Sales,63,26,24,2026
Marketing,272,39,51,2026
IT,237,93,3,2026
Marketing,20,88,18,2024
Operations,499,82,54,2026
IT,291,99,62,2025
HR,87,5,79,2026
Marketing,120,80,26,2024
IT,112,88,4,2025
Marketing,203,2,1,2026
Finance,490,87,2,2024
Marketing,351,7,75,2024
HR,50,8,65,2025
Sales,78,23,70,2024
Sales,462,53,0,2026
HR,80,45,46,2024
Sales,499,40,21,2026
Operations,122,78,43,2024
Marketing,430,12,56,2026
Sales,437,60,51,2024
HR,499,30,78,2024
HR,228,55,65,2024
Sales,381,63,70,2025
Operations,474,2,31,2025
IT,305,34,18,2024
Marketing,289,10,39,2025
IT,28,29,72,2024
Operations,174,99,42,2026
Marketing,427,94,8,2026
IT,454,96,12,2026
HR,331,66,22,2026
HR,229,38,39,2026
Operations,450,52,73,2026
Sales,272,9,69,2025
HR,341,6,27,2024
IT,286,20,56,2024
IT,227,61,76,2026
HR,435,27,66,2026
Sales,298,18,1,2024
HR,401,67,9,2026
Sales,395,46,46,2026
Marketing,473,96,23,2026
Finance,247,86,7,2026
IT,151,18,57,2024
Operations,347,8,63,2024
Sales,122,8,70,2026
Marketing,179,88,25,2024
Finance,227,27,33,2025
Marketing,419,76,34,2024
Marketing,417,18,51,2025
HR,45,8,29,2024
Sales,492,29,77,2025
IT,293,75,1,2024
IT,382,85,55,2026
Finance,270,37,10,2024
Sales,244,73,18,2026
HR,180,90,26,2026
Operations,278,41,20,2024
IT,167,79,12,2025
Sales,193,20,11,2025
Sales,421,91,2,2026
IT,340,48,52,2024
Sales,223,28,68,2026
Finance,303,96,24,2024
Sales,137,47,7,2026
HR,452,35,2,2026
Sales,304,60,1,2024
HR,284,78,75,2025
Operations,24,21,12,2024
IT,122,82,36,2024
Operations,287,79,34,2025
HR,207,33,59,2024
Finance,383,54,31,2026
HR,208,54,79,2026
Operations,173,63,38,2025
Operations,125,88,49,2025
Sales,380,49,34,2026
HR,404,89,16,2024
Finance,383,70,52,2026
HR,281,92,47,2025
Sales,384,24,21,2024
IT,175,82,31,2026
IT,478,46,75,2024
Marketing,83,26,1,2024
Finance,256,53,56,2024
IT,281,93,52,2025
IT,205,85,44,2026
IT,361,68,41,2025
HR,300,35,74,2025
Finance,32,83,45,2025
Marketing,117,73,3,2025
Marketing,73,65,77,2024
HR,460,41,20,2026
Finance,488,35,22,2026
Sales,96,98,75,2024
Finance,235,46,60,2024
Marketing,178,53,6,2026
IT,175,11,43,2026
HR,464,72,9,2025
Operations,284,90,8,2026
Finance,184,27,16,2026
Marketing,247,91,70,2025
Sales,27,9,33,2024
Marketing,265,4,47,2025
IT,206,78,64,2025
Marketing,241,60,71,2026
HR,323,36,8,2026
Marketing,215,72,3,2024
Marketing,373,74,46,2026
Operations,423,87,73,2026
Sales,275,17,16,2024
Marketing,374,86,70,2026
Finance,26,5,17,2024
Sales,492,33,19,2026
IT,286,25,47,2024
Finance,357,96,41,2026
Sales,363,37,68,2024
Marketing,38,41,65,2024
Marketing,325,23,4,2025
HR,152,38,37,2026
Sales,140,12,5,2024
IT,32,40,74,2024
Marketing,447,13,33,2024
Finance,484,5,78,2025
Marketing,447,34,79,2024
Finance,169,24,1,2025
HR,153,1,19,2025
Finance,361,0,60,2025
HR,28,53,40,2024
HR,409,90,62,2024
IT,91,81,9,2024
Operations,136,85,47,2024
Operations,467,97,49,2024
Operations,489,28,73,2025
Marketing,196,92,30,2024
HR,81,79,23,2026
IT,421,11,20,2025
IT,276,11,75,2026
IT,287,25,31,2025
Marketing,43,33,21,2025
HR,254,99,69,2026
Operations,98,67,36,2024
Marketing,380,65,28,2025
IT,255,18,23,2025
Finance,258,90,49,2026
Operations,165,9,58,2024
HR,278,2,79,2026
HR,41,79,32,2026
Sales,481,89,41,2026
Finance,126,35,50,2026
IT,158,36,8,2026
HR,285,43,28,2024
IT,295,18,41,2026
Finance,476,14,5,2026
Marketing,312,70,50,2026
HR,107,68,23,2026
IT,93,0,66,2025
Operations,178,72,76,2025
HR,170,83,77,2024
Operations,278,51,47,2024
IT,259,92,56,2025
Operations,29,88,35,2025
Operations,68,44,27,2024
HR,179,12,25,2025
IT,191,17,70,2026
Finance,136,11,10,2026
Operations,113,29,69,2025
Operations,472,48,30,2026
Finance,354,34,73,2025
IT,328,59,50,2025
Marketing,265,43,40,2024
Marketing,43,32,45,2024
HR,342,24,26,2025
Sales,104,27,75,2026
Sales,488,22,63,2025
Finance,298,23,16,2025
IT,439,20,67,2024
Sales,88,19,79,2026
IT,218,49,43,2024
IT,296,9,4,2025
Sales,34,28,8,2024
Sales,473,5,68,2026
HR,76,62,78,2024
HR,422,31,1,2026
Marketing,389,35,71,2024
Marketing,381,86,42,2024
Operations,56,21,2,2026
Sales,172,8,30,2025
Sales,410,56,52,2026
Operations,100,81,50,2025
Marketing,228,88,46,2025
HR,50,21,53,2024
Finance,223,31,74,2024
Operations,151,8,62,2026
Marketing,131,99,12,2024
IT,253,87,43,2025
Sales,225,32,66,2025
HR,465,19,69,2024
Finance,241,93,11,2026
IT,96,61,41,2025
IT,314,15,37,2026
Finance,167,32,1,2025
IT,428,96,35,2024
IT,229,40,79,2026
Operations,93,12,55,2026
Operations,21,36,58,2026
IT,146,30,79,2024
Operations,38,96,77,2026
IT,280,37,61,2026
Operations,478,34,33,2024
Sales,58,48,74,2026
Finance,257,60,48,2026
Finance,457,88,34,2024
IT,454,75,50,2026
HR,385,76,18,2025
Operations,186,81,53,2026
Marketing,181,22,67,2026
HR,338,42,24,2025
Operations,251,6,46,2024
Operations,359,15,57,2026
Operations,144,71,40,2026
IT,113,92,18,2024
Sales,374,26,4,2025
HR,284,87,32,2025
Sales,346,24,36,2025
Sales,356,99,44,2026
HR,391,11,24,2024
Sales,69,53,43,2024
IT,379,81,63,2025
IT,75,39,43,2026
HR,495,39,37,2026
Marketing,107,34,79,2026
IT,195,9,20,2025
Finance,40,90,6,2026
Finance,191,26,16,2026
Sales,78,33,10,2026
Operations,149,75,17,2026
Sales,292,20,38,2024
Marketing,334,71,52,2024
Sales,388,26,79,2024
Marketing,485,52,69,2025
IT,328,89,60,2024
Finance,247,88,58,2025
IT,471,97,72,2025
Sales,466,38,13,2024
Sales,258,23,44,2025
IT,361,14,74,2024
Operations,78,52,65,2026
Sales,215,24,18,2024
Operations,169,5,27,2026
HR,115,75,8,2025
Sales,105,50,16,2024
Marketing,154,15,4,2026
Operations,36,29,51,2024
IT,192,46,66,2024
HR,158,91,15,2024
HR,200,91,66,2025
Operations,317,47,79,2025
Operations,120,46,58,2026
Finance,63,65,2,2025
Operations,285,64,28,2026
Finance,463,18,75,2024
Sales,249,86,63,2025
Marketing,162,59,79,2026
Operations,492,72,56,2024
Finance,221,23,68,2024
IT,342,73,53,2025
HR,259,18,68,2025
Finance,76,67,37,2024
Sales,170,79,30,2025
IT,484,88,74,2024
Finance,131,37,77,2024
Finance,65,37,54,2026
Finance,134,32,19,2025
Marketing,377,71,79,2026
HR,129,90,65,2026
HR,40,95,41,2026
Finance,357,59,75,2026
Finance,114,78,78,2024
HR,233,70,63,2025
Operations,67,93,43,2024
Operations,111,92,78,2024
Operations,441,22,71,2025
IT,426,84,15,2026
Operations,428,29,10,2024
Finance,130,0,25,2024
Operations,326,95,26,2026
Marketing,424,99,44,2024
Marketing,272,53,38,2025
Marketing,256,81,66,2025
Sales,425,34,40,2025
Finance,134,49,5,2026
Operations,189,55,25,2026
HR,464,40,71,2024
Marketing,472,78,76,2025
Operations,234,4,26,2025
IT,62,82,49,2026
Marketing,411,20,64,2025
Marketing,286,59,11,2024
Operations,492,22,32,2024
Sales,461,17,57,2026
Marketing,388,81,27,2025
Operations,462,68,50,2026
Sales,486,8,32,2025
Sales,398,96,68,2024
Marketing,483,39,70,2026
Finance,119,98,0,2026
Marketing,121,17,50,2025
Finance,454,71,2,2024
Finance,63,14,65,2025
IT,119,4,24,2025
Sales,103,45,17,2025
IT,59,70,66,2025
Operations,172,9,47,2024
HR,100,98,78,2026
IT,445,83,26,2024
Finance,200,39,71,2024
Finance,360,54,57,2024
IT,128,18,56,2026
HR,169,96,53,2026
Sales,164,93,67,2024
Operations,121,92,59,2025
Marketing,257,11,76,2026
IT,434,97,58,2024
Operations,371,53,10,2025
IT,148,26,36,2025
Marketing,454,13,51,2026
Operations,464,28,16,2026
Operations,437,46,58,2026
Operations,215,60,28,2026
HR,473,48,42,2026
Operations,171,98,34,2024
Sales,122,93,44,2024
Finance,66,3,10,2025
Operations,381,39,52,2024
HR,176,18,24,2026
HR,45,23,79,2024
HR,288,36,69,2025
IT,470,2,44,2025
Finance,450,95,51,2024
IT,76,18,76,2024
IT,461,11,4,2024
HR,51,98,37,2024
Finance,357,58,12,2025
Marketing,440,47,6,2024
Operations,61,22,38,2026
HR,133,1,19,2026
Finance,144,2,23,2025
Operations,432,12,69,2026
Marketing,186,57,79,2025
IT,226,2,55,2025
Finance,301,69,29,2026
Operations,23,37,58,2026
IT,30,22,48,2026
Operations,253,89,29,2026
HR,453,36,64,2026
Finance,201,26,5,2024
IT,291,30,76,2025
IT,160,82,43,2024
HR,238,72,12,2025
Finance,162,60,66,2026
HR,469,61,46,2024
Sales,67,4,42,2026
Marketing,113,2,31,2026
IT,90,14,21,2024
HR,427,22,46,2024
Operations,76,81,20,2024
Operations,430,38,34,2025
Marketing,25,11,40,2026
Sales,72,67,78,2025
Sales,451,96,62,2026
Operations,449,63,35,2025
HR,460,95,9,2026
Sales,89,71,31,2025
HR,177,68,65,2025
Marketing,320,74,19,2024
Operations,247,16,14,2025
Marketing,66,83,17,2026
HR,183,24,78,2025
IT,183,55,22,2025
IT,312,0,16,2024
IT,71,92,36,2026
Finance,329,86,71,2024
IT,201,79,49,2024
Marketing,254,47,21,2024
Sales,347,71,25,2024
Operations,58,34,13,2026
IT,280,48,3,2025
IT,341,93,73,2025
Operations,372,43,47,2024
Finance,298,25,46,2024
Sales,223,67,13,2026
Operations,156,72,33,2025
Sales,343,50,40,2026
HR,271,28,13,2024
HR,463,39,44,2024
Operations,356,52,5,2025
Sales,98,51,19,2026
Operations,243,68,53,2024
Operations,126,89,29,2024
Operations,481,22,5,2024
IT,133,73,47,2025
Sales,373,94,22,2024
Sales,365,64,79,2025
IT,409,60,25,2025
IT,137,48,8,2025
Sales,430,66,57,2024
Sales,297,62,61,2026
IT,332,20,61,2024
HR,406,61,12,2024
Operations,155,12,54,2025
Operations,445,67,10,2024
Marketing,366,79,14,2026
Marketing,66,40,54,2025
Operations,214,23,69,2025
Sales,95,67,72,2025
Operations,100,51,2,2026
Sales,411,78,70,2026
IT,108,50,9,2026
Marketing,398,55,51,2025
Sales,64,2,68,2024
Marketing,191,46,47,2025
IT,206,0,77,2026
Finance,83,94,33,2026
Operations,324,19,15,2026
Sales,148,54,0,2024
Operations,137,74,36,2025
Sales,308,45,69,2025
Marketing,219,6,67,2026
Sales,175,71,67,2026
Marketing,132,7,33,2024
Operations,445,31,39,2025
Operations,320,53,46,2026
Finance,42,0,20,2024
Marketing,239,9,3,2025
HR,155,79,44,2024
Marketing,412,23,40,2024
Marketing,268,14,50,2026
Marketing,56,98,49,2024
Finance,45,35,31,2024
Sales,113,23,6,2025
Sales,496,52,57,2025
Sales,387,3,47,2024
IT,61,34,34,2024
HR,131,61,42,2024
Operations,316,86,45,2024
Operations,232,68,54,2025
Sales,119,22,23,2026
Finance,291,58,74,2024
Finance,435,35,41,2025
IT,289,98,35,2024
Finance,100,77,5,2025
Finance,162,87,77,2024
Sales,87,39,18,2025
Marketing,273,8,25,2024
Marketing,388,68,65,2025
IT,282,16,29,2025
Operations,37,19,54,2026
Operations,124,43,15,2026
Finance,180,36,20,2026
Sales,245,65,75,2025
HR,200,7,74,2026
Operations,232,78,56,2025
Marketing,304,31,12,2024
IT,35,10,58,2026
HR,229,28,4,2025
Sales,272,98,9,2024
Marketing,165,21,50,2026
Finance,135,22,20,2024
Finance,438,57,64,2025
Sales,113,95,51,2024
HR,458,85,24,2025
Operations,45,75,44,2026
Marketing,76,37,14,2024
IT,495,25,5,2026
Finance,413,3,30,2025
HR,402,68,53,2024
Sales,305,17,32,2025
Sales,104,27,31,2024
Sales,403,63,17,2024
IT,344,67,44,2025
Finance,73,95,73,2025
Marketing,86,6,19,2026
Operations,312,45,79,2024
Marketing,493,26,14,2026
Finance,463,37,18,2026
IT,423,45,40,2026
Sales,155,55,78,2026
HR,42,76,56,2025
IT,320,50,27,2024
Marketing,39,38,34,2025
IT,362,9,1,2026
Finance,229,60,47,2024
Marketing,65,4,30,2025
HR,468,75,61,2024
Finance,495,46,49,2024
Finance,225,10,17,2024
IT,166,38,32,2025
Finance,486,34,37,2024
Sales,261,61,66,2024
IT,144,53,25,2025
IT,310,40,32,2024
Finance,309,17,1,2024
HR,465,8,45,2024
IT,433,41,57,2025
Sales,228,80,54,2025
Finance,489,35,59,2024
Finance,331,80,12,2024
Marketing,417,34,21,2025
Operations,376,6,39,2025
Operations,165,14,54,2024
Finance,246,27,52,2025
IT,236,65,9,2024
Sales,365,41,66,2025
Finance,482,3,35,2025
Marketing,27,34,58,2024
Operations,265,65,55,2025
Operations,269,93,46,2024
Finance,26,1,0,2024
Sales,449,27,2,2026
Marketing,55,46,34,2026
HR,170,95,50,2026
Sales,247,18,63,2025
Marketing,388,23,67,2026
Operations,180,60,76,2026
Operations,32,68,63,2025
Operations,285,84,12,2025
IT,272,71,40,2025
Finance,483,35,28,2025
Sales,71,30,0,2024
Sales,354,68,77,2025
Marketing,34,66,73,2025
IT,252,84,47,2024
Marketing,78,16,19,2025
HR,323,72,57,2025
Finance,392,30,3,2025
Marketing,282,71,4,2026
Sales,44,78,41,2025
HR,246,34,9,2024
Finance,281,85,14,2024
Finance,223,79,54,2024
IT,174,57,1,2024
Sales,314,87,6,2025
IT,236,42,75,2025
IT,263,75,22,2025
IT,285,57,43,2026
Sales,100,49,30,2024
Finance,215,82,67,2024
IT,344,88,38,2024
HR,277,36,29,2025
Sales,152,21,76,2026
Sales,332,4,54,2025
HR,218,83,57,2026
Finance,36,94,29,2024
HR,496,53,49,2026
Operations,328,79,17,2026
Sales,356,14,6,2024
Marketing,377,11,64,2026
Finance,492,93,77,2024
Sales,462,20,6,2026
Sales,141,87,29,2025
IT,478,80,4,2026
Sales,191,88,63,2026
Operations,58,28,2,2026
Marketing,32,5,12,2025
Sales,296,60,53,2025
Operations,123,10,38,2024
Sales,240,29,47,2025
Operations,400,93,75,2026
HR,154,52,56,2026
HR,82,85,24,2025
IT,135,89,16,2024
Finance,180,16,71,2024
Finance,427,1,76,2026
Operations,402,79,44,2024
Operations,303,37,62,2024
Operations,86,29,4,2025
Operations,104,54,57,2025
Finance,326,15,51,2024
Marketing,42,60,30,2025
Marketing,63,70,41,2025
IT,363,79,19,2026
Sales,219,7,52,2025
IT,154,63,57,2025
Marketing,471,41,38,2025
Operations,476,16,12,2024
Finance,399,35,9,2024
HR,470,43,76,2026
Finance,40,94,75,2026
Sales,238,89,16,2024
Finance,133,51,61,2024
Sales,289,40,74,2024
Marketing,258,92,32,2024
HR,196,8,40,2026
Finance,110,55,35,2024
IT,270,77,11,2025
HR,430,64,37,2026
